Tool,Precision,Recall,F1 Score,TP,FP,FN,Count
wrench,0.0380,0.0073,0.0123,3,76,407,410
screwdriver,0.0187,0.0057,0.0087,2,105,351,353
pliers,0.0089,0.0051,0.0065,1,111,194,195
hammer,0.0000,0.0000,0.0000,0,96,123,123
ratchet,0.0000,0.0000,0.0000,0,0,59,59
hand,0.0000,0.0000,0.0000,0,0,37,37
saw,0.0000,0.0000,0.0000,0,11,29,29
gun,0.0000,0.0000,0.0000,0,0,29,29
drill,0.0000,0.0000,0.0000,0,12,21,21
tape measure,0.0000,0.0000,0.0000,0,13,13,13
calipers,0.0000,0.0000,0.0000,0,0,9,9
knife,0.0000,0.0000,0.0000,0,18,9,9
caliper,0.0000,0.0000,0.0000,0,1,0,0
nail puller,0.0000,0.0000,0.0000,0,1,0,0
file,0.0000,0.0000,0.0000,0,2,0,0
bolt,0.0000,0.0000,0.0000,0,1,0,0
clamps,0.0000,0.0000,0.0000,0,1,0,0
workshop,0.0000,0.0000,0.0000,0,1,0,0
scissors,0.0000,0.0000,0.0000,0,4,0,0
clamp,0.0000,0.0000,0.0000,0,1,0,0
safety goggles,0.0000,0.0000,0.0000,0,1,0,0
scraper,0.0000,0.0000,0.0000,0,1,0,0
safety gloves,0.0000,0.0000,0.0000,0,1,0,0
chisel,0.0000,0.0000,0.0000,0,4,0,0
plunger,0.0000,0.0000,0.0000,0,1,0,0
welding_table,0.0000,0.0000,0.0000,0,1,0,0
handgun,0.0000,0.0000,0.0000,0,2,0,0
square,0.0000,0.0000,0.0000,0,2,0,0
level,0.0000,0.0000,0.0000,0,7,0,0
punch,0.0000,0.0000,0.0000,0,1,0,0
pipe,0.0000,0.0000,0.0000,0,2,0,0
nails,0.0000,0.0000,0.0000,0,2,0,0
socket,0.0000,0.0000,0.0000,0,1,0,0
safety glasses,0.0000,0.0000,0.0000,0,1,0,0
measuring tape,0.0000,0.0000,0.0000,0,2,0,0
tongs,0.0000,0.0000,0.0000,0,1,0,0
wooden board,0.0000,0.0000,0.0000,0,1,0,0
cutter,0.0000,0.0000,0.0000,0,8,0,0
pencils,0.0000,0.0000,0.0000,0,1,0,0
paintbrush,0.0000,0.0000,0.0000,0,1,0,0
angle grinder,0.0000,0.0000,0.0000,0,1,0,0
glass bulb base,0.0000,0.0000,0.0000,0,1,0,0
metal_file,0.0000,0.0000,0.0000,0,1,0,0
other tool,0.0000,0.0000,0.0000,0,1,0,0
tape,0.0000,0.0000,0.0000,0,1,0,0
box,0.0000,0.0000,0.0000,0,2,0,0
paint roller,0.0000,0.0000,0.0000,0,1,0,0
spatula,0.0000,0.0000,0.0000,0,1,0,0
hoe,0.0000,0.0000,0.0000,0,1,0,0
rope,0.0000,0.0000,0.0000,0,1,0,0
awl,0.0000,0.0000,0.0000,0,1,0,0
scribe,0.0000,0.0000,0.0000,0,1,0,0
2m measuring tape,0.0000,0.0000,0.0000,0,1,0,0
toothbrushes,0.0000,0.0000,0.0000,0,5,0,0
vernier caliper,0.0000,0.0000,0.0000,0,5,0,0
straight bar,0.0000,0.0000,0.0000,0,1,0,0
vise grips,0.0000,0.0000,0.0000,0,1,0,0
staple gun,0.0000,0.0000,0.0000,0,1,0,0
